27.05.2017 Cumartesi ,Çay,Mercimek Çorba,Tereyağ - Bal,Üçgen Peynir - Siyah Zeytin,Haşlanmış Yumurta,Domates-Salatalık,Ekmek - Sade Poğaça-Pide,
28.05.2017 Pazar ,Çay,Domates Çorbası,Poş.beyaz peynir - Yeşil zeytin,Tereyağ-reçel-fındık ezmesi,Domates-Salatalık-Biber,Patatesli Yumurta,Ekmek -Simit- Pide,
29.05.2017 Pazartesi ,Çay,Tarhana Çorbası,Beyaz peynir-siyah zeytin,Haşlanmış Yumurta -Fındık Ezmesi,Kayısı Hoşafı,Domates - Salatalık- Biber,Ekmek - Pey. Milföy Bör-Pide,
30.05.2017 Salı ,Çay,Şehriye Çorbası,Poşet beyaz p.-yeşil Zeytin,Haşlanmış yumurta -Tereyağ-bal,Domates-Salatalık,Üzüm Hoşafı,Ekmek -Pat. Kol börek-Pide,
31.05.2017 Çarşamba ,Çay,Ezogelin Çorbası,Beyaz peynir-siyah zeytin,Tereyağ-reçel,Domates-Salatalık,Patatesli yumurta,Ekmek - Kek - Pide,
01.06.2017 Perşembe ,Çay,Domates Çorbası,Kaşar peyniri-yeşil zeytin,Tereyağ - Bal,Domates-Salatalık- Biber,Haşlanmış yumurta,Ekmek-Pey. tepsi böreği-Pide,Vişne Kompostosu
02.06.2017 Cuma ,Çay,Mercimek çorba,Üçgen peynir-yeşil zeytin,Tereyağ -Reçel,Domates-Salatalık,Peynirli yumurta,Ekmek-simit-Pide,
03.06.2017 Cumartesi ,Çay,Tarhana Çorbası,Beyaz Peynir- Siyah Zeytin,Tereyağ - Bal,Haşlanmış Yumurta,Domates-Salatalık,Ekmek - Sade Poğaça-Pide,
04.06.2017 Pazar ,Çay,Köylü Çorbası,Poşet beyaz peynir - Yeşil zeytin,Fındık ezmesi,Domates-Salatalık-Biber,Menemen,Ekmek-Kek -Pide,
05.06.2017 Pazartesi ,Çay,Domates Çorbası,Beyaz peynir-siyah zeytin,Tereyağ - reçel,Domates - Salatalık- Biber,Haşlanmış Yumurta,Ekmek - Sade poğaça-Pide,
06.06.2017 Salı ,Çay,Yayla Çorbası,Poşet beyaz p.-yeşil Zeytin,Tereyağ-bal,Domates-Salatalık,Haşlanmış yumurta,Ekmek -Pat. Kol börek-Pide,Vişne Kompostosu
07.06.2017 Çarşamba ,Çay,Mercimek Çorbası,Beyaz peynir-siyah zeytin,Tereyağ -reçel,Domates-Salatalık,Peynirli Yumurta,Ekmek -Simit-Pide,
08.06.2017 Perşembe ,Çay,Ezogelin çorbası,Kaşar peyniri-yeşil zeytin,Tereyağ - Bal,Domates-Salatalık- Biber,Haşlanmış yumurta,Ekmek-Pey. tepsi böreği-Pide,
09.06.2017 Cuma ,Çay,Tarhana Çorbası,Üçgen peynir-yeşil zeytin,Fındık ezmesi,Domates-Salatalık,Patatesli yumurta,Ekmek-Simit-Pide,
10.06.2017 Cumartesi ,Çay,Bulgur Çorbası,Poşet Beyaz Peynir - Siyah Zeytin,Tereyağ - Bal,Haşlanmış Yumurta,Domates-Salatalık,Ekmek - Sade Poğaça-Pide,
11.06.2017 Pazar ,Çay,Hanımağa Çorbası,Üçgen peynir - Yeşil zeytin,Tereyağ-reçel,Domates-Salatalık-Biber,Menemen,Ekmek-Kek -Pide,
12.06.2017 Pazartesi ,Çay,Tarhana Çorbası,Beyaz peynir-siyah zeytin,Fındık ezmesi - Haşlanmış yumurta,Domates - Salatalık- Biber,Vişne Kompostosu,Ekmek - Ay Böreği-Pide,
13.06.2017 Salı ,Çay,Domates Çorbası,Poşet beyaz p.-yeşil Zeytin,Tereyağ-bal -Haşlanmış Yumurta,Domates-Salatalık,Üzüm Hoşafı,Ekmek - Pey. milföy böreği-Pide,
14.06.2017 Çarşamba ,Çay,Ezogelin Çorbası,Beyaz peynir-siyah zeytin,Tereyağ-reçel,Domates-Salatalık,Patatesli yumurta,Ekmek -Kek-Pide,
15.06.2017 Perşembe ,Çay,Hanımağa Çorbası,Kaşar peyniri-yeşil zeytin,Tereyağ - Bal,Domates-Salatalık- Biber,Haşlanmış yumurta,Ekmek-Pey. tepsi böreği-Pide,
16.06.2017 Cuma ,Çay,Şehriye Çorbası,Üçgen peynir-yeşil zeytin,Fındık ezmesi,Domates-Salatalık,Patatesli yumurta,Ekmek-simit-Pide,
17.06.2017 Cumartesi ,Çay,Köylü Çorbası,Kaşar Peyniri -Siyah Zeyin,Tereyağ - Bal,Haşlanmış Yumurta,Domates-Salatalık,Ekmek - Sade Poğaça-Pide,
18.06.2017 Pazar ,Çay,Tarhana Çorbası,Poşet beyaz peynir - Yeşil zeytin,Tereyağ-reçel-fındık ezmesi,Domates-Salatalık-Biber,Ekmek-Pey. Milföy Böreği-Pide,Kayısı Hoşafı,
